Category,Observed_Count,Expected_Count,Observed_Percentage,Baseline_Percentage,Fold_Change,P_Value_Over,P_Value_Under,P_Value_Over_FDR,P_Value_Under_FDR,Significant_Over,Significant_Under,Significant_FDR,Representation_Type
All living organisms,816,5003,31.15693012600229,25.450198392511954,1.224231326038283,9.080112866537505e-13,0.999999999999351,1.725221444642126e-11,1.0,True,False,True,Over-represented
Eukaryota,219,1616,8.36197021764032,8.220571777393427,1.0172005602622118,0.400490365418225,0.6285993977124541,1.0,1.0,False,False,False,Not significant
Opisthokonta,134,835,5.116456662848416,4.247634550819005,1.2045425757877144,0.01161083135475652,0.9910761971934444,0.044121159148074775,1.0,True,False,True,Over-represented
Holozoa,66,343,2.520045819014891,1.7448367077016989,1.444287484262237,0.0012193622246709614,0.9992527958660011,0.005791970567187067,1.0,True,False,True,Over-represented
Metazoa,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,False,Not significant
Eumetazoa,325,2088,12.409316533027873,10.621629870790517,1.1683062471564267,0.0009649692628791577,0.999228216475146,0.005791970567187067,1.0,True,False,True,Over-represented
Bilateria,181,1167,6.911034746086292,5.936514396174585,1.1641569926183748,0.014350468992410098,0.9884839788342831,0.04544315180929865,1.0,True,False,True,Over-represented
Deuterostomia,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,False,Not significant
Chordata,55,406,2.1000381825124093,2.0653169193203786,1.0168115909317472,0.4690506714876049,0.588808220882701,1.0,1.0,False,False,False,Not significant
Olfactores,9,86,0.3436426116838488,0.4374809237969275,0.7855030768001278,0.8257355250178503,0.27492379843180653,1.0,0.7462217386006178,False,False,False,Not significant
Craniata,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,False,Not significant
Euteleostomi,587,3652,22.413134784268802,18.577678298911383,1.2064551029275907,6.178705426558704e-08,0.9999999535238395,5.869770155230769e-07,1.0,True,False,True,Over-represented
Tetrapoda,50,488,1.9091256204658267,2.482449893173263,0.7690490050638774,0.9843538026861731,0.022303207978632632,1.0,0.084752190318804,False,False,False,Not significant
Amniota,43,411,1.6418480336006107,2.0907518567504324,0.7852907212778785,0.967236981595241,0.04600707820767169,1.0,0.14568908099096037,False,False,False,Not significant
Mammalia,72,1244,2.7491408934707904,6.328212432597416,0.4344261389376913,1.0,4.484885311067737e-19,1.0,2.8404273636762336e-18,False,True,True,Under-represented
Eutheria,0,1,0.0,0.005086987486010784,0.0,1.0,0.8667717977413776,1.0,1.0,False,False,False,Not significant
Boreoeutheria,49,1168,1.8709431080565102,5.941601383660596,0.31488869536108627,1.0,4.9797393342656776e-27,1.0,4.730752367552394e-26,False,True,True,Under-represented
Euarchontoglires,4,275,0.15273004963726614,1.3989215586529657,0.10917699330070464,0.9999999999999126,9.502392835162335e-13,1.0,4.51363659670211e-12,False,True,True,Under-represented
Primates,9,875,0.3436426116838488,4.451114050259437,0.07720373097692684,1.0,1.3593083565775426e-42,1.0,2.5826858774973314e-41,False,True,True,Under-represented
